word,score
ponyo,2.4373
matthau,2.3572
felix,2.1664
flawless,2.0569
custer,1.9719
timeless,1.9219
wonderfully,1.9193
unforgettable,1.8839
superbly,1.8572
understated,1.8145
superb,1.8032
underrated,1.775
refreshing,1.7653
perfection,1.7629
delightful,1.7608
captures,1.7511
touching,1.7408
beautifully,1.7208
cassavetes,1.7163
miyazaki,1.708
