payload_mass_kg,flight_number,year,num_payloads,customers_count,launch_site,orbit,rocket_name,landing_type,landing_success
15600,109,2020,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
2972,110,2020,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
7000,111,2020,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
5800,112,2020,1,1,KSC LC 39A,,Falcon 9,RTLS,1
3500,113,2021,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
15600,114,2021,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
2200,115,2021,1,0,CCSFS SLC 40,SSO,Falcon 9,ASDS,1
15600,116,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
15600,117,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,0
15600,118,2021,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
15600,119,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
15600,120,2021,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
15600,121,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
15600,122,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
2531.5,123,2021,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
15600,124,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
15600,125,2021,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
15600,126,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13632,127,2021,3,4,KSC LC 39A,VLEO,Falcon 9,ASDS,1
15600,128,2021,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
3328,129,2021,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
7000,130,2021,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
3681,131,2021,1,1,CCSFS SLC 40,MEO,Falcon 9,ASDS,1
2200,132,2021,1,0,CCSFS SLC 40,SSO,Falcon 9,RTLS,1
2531.5,133,2021,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
15600,134,2021,1,1,VAFB SLC 4E,PO,Falcon 9,ASDS,1
1675,135,2021,1,1,KSC LC 39A,LEO,Falcon 9,ASDS,1
12519,136,2021,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
13260,137,2021,1,1,CCSFS SLC 40,LEO,Falcon 9,ASDS,1
670,138,2021,1,1,VAFB SLC 4E,TLI,Falcon 9,ASDS,1
13260,139,2021,1,1,CCSFS SLC 40,PO,Falcon 9,ASDS,1
330,140,2021,1,2,KSC LC 39A,LEO,Falcon 9,ASDS,1
13260,141,2021,1,1,VAFB SLC 4E,PO,Falcon 9,ASDS,1
3500,142,2021,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
2531.5,143,2021,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
13260,144,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
1675,145,2022,1,2,CCSFS SLC 40,LEO,Falcon 9,RTLS,1
13260,146,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
2240,147,2022,1,1,CCSFS SLC 40,SSO,Falcon 9,RTLS,1
1675,148,2022,1,2,VAFB SLC 4E,LEO,Falcon 9,RTLS,1
13260,149,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,150,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,151,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
13260,152,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,153,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,154,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
2200,155,2022,1,0,CCSFS SLC 40,SSO,Falcon 9,ASDS,1
2531.5,156,2022,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
1675,157,2022,1,2,VAFB SLC 4E,LEO,Falcon 9,RTLS,1
13260,158,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
2531.5,159,2022,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
13260,160,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,161,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,162,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
13260,163,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,164,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
2200,165,2022,1,0,CCSFS SLC 40,SSO,Falcon 9,RTLS,1
3938,166,2022,1,1,CCSFS SLC 40,GEO,Falcon 9,ASDS,1
13260,167,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
2200,168,2022,1,3,VAFB SLC 4E,SSO,Falcon 9,RTLS,1
700,169,2022,1,1,CCSFS SLC 40,LEO,Falcon 9,ASDS,1
3500,170,2022,1,1,CCSFS SLC 40,MEO,Falcon 9,ASDS,1
13260,171,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,172,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
2531.5,173,2022,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
13260,174,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,175,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
13260,176,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
678,177,2022,1,1,CCSFS SLC 40,TLI,Falcon 9,ASDS,1
13260,178,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,179,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
13260,180,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,181,2022,1,1,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,182,2022,1,1,VAFB SLC 4E,VLEO,Falcon 9,ASDS,1
13440,183,2022,2,2,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
14760,184,2022,2,2,KSC LC 39A,VLEO,Falcon 9,ASDS,1
13260,185,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
13260,186,2022,1,1,CCSFS SLC 40,VLEO,Falcon 9,ASDS,1
2531.5,187,2022,1,1,KSC LC 39A,ISS,Falcon 9,ASDS,1
