name,date_utc,year,month,flight_number,rocket_name,launch_site,pad_lat,pad_lon,pad_locality,payload_mass_kg,orbit,customers_count,num_payloads,landing_success,landing_type
CRS-10,2017-02-19T14:39:00.000Z,2017,2,36,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2490.0,ISS,1,1,True,RTLS
EchoStar 23,2017-03-16T06:00:00.000Z,2017,3,37,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,5600.0,GTO,1,1,,
SES-10,2017-03-30T22:27:00.000Z,2017,3,38,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,5300.0,GTO,1,1,True,ASDS
NROL-76,2017-05-01T11:15:00.000Z,2017,5,39,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,LEO,1,1,True,RTLS
Inmarsat-5 F4,2017-05-15T23:21:00.000Z,2017,5,40,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,6070.0,GTO,1,1,,
CRS-11,2017-06-03T21:07:00.000Z,2017,6,41,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2708.0,ISS,1,1,True,RTLS
BulgariaSat-1,2017-06-23T19:10:00.000Z,2017,6,42,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3669.0,GTO,1,1,True,ASDS
Iridium NEXT Mission 2,2017-06-25T20:25:00.000Z,2017,6,43,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,ASDS
Intelsat 35e,2017-07-05T23:35:00.000Z,2017,7,44,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,6761.0,GTO,1,1,,
CRS-12,2017-08-14T16:31:00.000Z,2017,8,45,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2910.0,ISS,1,1,True,RTLS
FormoSat-5,2017-08-24T18:50:00.000Z,2017,8,46,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,475.0,SSO,1,1,True,ASDS
Boeing X-37B OTV-5,2017-09-07T13:50:00.000Z,2017,9,47,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,4990.0,LEO,1,1,True,RTLS
Iridium NEXT Mission 3,2017-10-09T12:37:00.000Z,2017,10,48,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,ASDS
SES-11 / Echostar 105,2017-10-11T22:53:00.000Z,2017,10,49,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,5200.0,GTO,2,1,True,ASDS
KoreaSat 5A,2017-10-30T19:34:00.000Z,2017,10,50,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3700.0,GTO,1,1,True,ASDS
CRS-13,2017-12-15T15:36:00.000Z,2017,12,51,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2205.0,ISS,1,1,True,RTLS
Iridium NEXT Mission 4,2017-12-23T01:27:23.000Z,2017,12,52,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,Ocean
ZUMA,2018-01-08T01:00:00.000Z,2018,1,53,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,LEO,1,1,True,RTLS
SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,2018,1,54,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4230.0,GTO,1,1,True,Ocean
Falcon Heavy Test Flight,2018-02-06T20:45:00.000Z,2018,2,55,Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,1350.0,HCO,1,1,False,ASDS
Paz / Starlink Demo,2018-02-22T14:17:00.000Z,2018,2,56,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,2150.0,SSO,2,2,,
Hispasat 30W-6,2018-03-06T05:33:00.000Z,2018,3,57,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,6092.0,GTO,1,1,,
