name,date_utc,year,month,flight_number,rocket_name,launch_site,pad_lat,pad_lon,pad_locality,payload_mass_kg,orbit,customers_count,num_payloads,landing_success,landing_type
Starlink 4-8 (v1.5),2022-02-21T14:44:00.000Z,2022,2,150,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-11 (v1.5),2022-02-25T17:12:00.000Z,2022,2,151,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
Starlink 4-9 (v1.5),2022-03-03T14:35:00.000Z,2022,3,152,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-10 (v1.5),2022-03-09T13:45:00.000Z,2022,3,153,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-12 (v1.5),2022-03-19T03:24:00.000Z,2022,3,154,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Transporter-4,2022-04-01T16:24:00.000Z,2022,4,155,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,SSO,0,1,True,ASDS
Ax-1,2022-04-08T15:17:00.000Z,2022,4,156,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
NROL-85,2022-04-17T13:13:00.000Z,2022,4,157,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,,LEO,2,1,True,RTLS
Starlink 4-14 (v1.5),2022-04-21T15:16:00.000Z,2022,4,158,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Crew-4,2022-04-27T07:52:00.000Z,2022,4,159,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Starlink 4-16 (v1.5),2022-04-29T21:27:00.000Z,2022,4,160,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-17 (v1.5),2022-05-06T09:42:00.000Z,2022,5,161,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-13 (v1.5),2022-05-13T22:07:00.000Z,2022,5,162,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
Starlink 4-15 (v1.5),2022-05-14T20:40:00.000Z,2022,5,163,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-18 (v1.5),2022-05-18T10:40:00.000Z,2022,5,164,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Transporter-5,2022-05-25T18:27:00.000Z,2022,5,165,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,SSO,0,1,True,RTLS
Nilesat-301,2022-06-08T21:04:00.000Z,2022,6,166,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3938.0,GEO,1,1,True,ASDS
Starlink 4-19 (v1.5),2022-06-01T17:08:50.000Z,2022,6,167,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
SARah 1,2022-06-18T14:19:00.000Z,2022,6,168,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,2200.0,SSO,3,1,True,RTLS
Globalstar FM15,2022-06-19T04:27:00.000Z,2022,6,169,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,700.0,LEO,1,1,True,ASDS
SES-22,2022-06-29T21:04:00.000Z,2022,6,170,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3500.0,MEO,1,1,True,ASDS
Starlink 4-21 (v1.5),2022-07-07T13:11:00.000Z,2022,7,171,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 3-1 (v1.5),2022-07-11T01:39:00.000Z,2022,7,172,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
CRS-25,2022-07-15T00:44:00.000Z,2022,7,173,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Starlink 4-22 (v1.5),2022-07-17T14:50:00.000Z,2022,7,174,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 3-2 (v1.5),2022-07-21T17:13:00.000Z,2022,7,175,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
Starlink 4-25 (v1.5),2022-07-24T00:00:00.000Z,2022,7,176,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
KPLO,2022-08-04T23:08:00.000Z,2022,8,177,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,678.0,TLI,1,1,True,ASDS
Starlink 4-26 (v1.5),2022-08-09T22:57:00.000Z,2022,8,178,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 3-3 (v1.5),2022-08-12T21:30:00.000Z,2022,8,179,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
Starlink 4-27 (v1.5),2022-08-19T19:24:00.000Z,2022,8,180,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-23 (v1.5),2022-08-28T02:22:00.000Z,2022,8,181,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 3-4 (v1.5),2022-08-31T05:40:00.000Z,2022,8,182,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,13260.0,VLEO,1,1,True,ASDS
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05T02:09:00.000Z,2022,9,183,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13440.0,VLEO,2,2,True,ASDS
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11T01:10:00.000Z,2022,9,184,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,14760.0,VLEO,2,2,True,ASDS
Starlink 4-34 (v1.5),2022-09-17T01:05:00.000Z,2022,9,185,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Starlink 4-35 (v1.5),2022-09-24T23:30:00.000Z,2022,9,186,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,True,ASDS
Crew-5,2022-10-05T16:00:00.000Z,2022,10,187,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
USSF-44,2022-11-01T13:41:00.000Z,2022,11,188,Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3700.0,GTO,1,1,,
Starlink 4-36 (v1.5),2022-10-20T14:50:00.000Z,2022,10,188,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13260.0,VLEO,1,1,,
Galaxy 33 (15R) & 34 (12R),2022-10-08T23:05:00.000Z,2022,10,188,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
Hotbird 13F,2022-10-15T05:22:00.000Z,2022,10,188,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
Hotbird 13G,2022-11-03T03:24:00.000Z,2022,11,189,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
Galaxy 31 (23R) & 32 (17R),2022-11-08T00:00:00.000Z,2022,11,191,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
Eutelsat 10B,2022-11-15T00:00:00.000Z,2022,11,192,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
ispace Mission 1 & Rashid,2022-11-22T00:00:00.000Z,2022,11,193,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
CRS-26,2022-11-18T22:00:00.000Z,2022,11,194,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,,0,0,,
Starlink 4-37 (v1.5),2022-11-01T00:00:00.000Z,2022,11,195,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
"O3b mPower 1,2",2022-11-01T00:00:00.000Z,2022,11,196,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5100.0,MEO,1,1,,
SWOT,2022-12-05T00:00:00.000Z,2022,12,197,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,,,0,0,,
SES-18 & SES-19,2022-11-01T00:00:00.000Z,2022,11,198,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
Transporter-6,2022-12-01T00:00:00.000Z,2022,12,198,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,,0,0,,
TTL-1,2022-12-01T00:00:00.000Z,2022,12,199,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,,PO,1,1,,
WorldView Legion 1 & 2,2022-12-01T00:00:00.000Z,2022,12,200,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,SSO,1,1,,
Viasat-3 & Arcturus,2022-12-01T00:00:00.000Z,2022,12,202,Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,,0,0,,
O3b mPower 3.4,2022-12-01T00:00:00.000Z,2022,12,203,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5100.0,MEO,1,1,,
